source_trait	plot_label	snps	afr_p	eas_p	eur_p	sas_p	amr_p	joint_p	non_eur_p	figure6_nonredundant	source_page
Alzheimer’s Disease	Alzheimer's Disease	42	0.640	0.307	0.219	0.958	0.004	0.170	0.192	yes	16
Asthma	Asthma	586	0.025	0.012	0.251	0.193	0.348	0.133	0.014	yes	16
Bone Mineral Density	Bone Mineral Density	1080	0.246	0.020	0.002	0.031	0.118	3.84E-4	0.112	yes	16
Body Mass Index	Body Mass Index	831	0.176	0.067	0.001	0.081	0.768	0.001	0.704	yes	16
Birthweight	Birthweight	115	0.003	0.995	0.608	0.466	0.979	0.814	0.918	yes	16
Crohn’s Disease	Crohn's Disease	263	0.024	0.304	0.272	0.080	0.139	0.184	0.338	no	16
Covid-19 (Respirator/Death)	SARS-CoV-2 (Respirator/Death)	69	0.002	0.004	0.111	0.610	0.849	0.037	0.030	no	16
Covid-19 (Hospitalized)	SARS-CoV-2 (Hospitalized)	70	0.053	0.005	0.133	0.743	0.576	0.047	0.027	yes	16
Covid-19 (incl. self-report)	SARS-CoV-2 (incl. self-report)	43	0.203	0.244	0.207	0.022	0.617	0.179	0.585	no	16
Coronary Artery Disease	Coronary Artery Disease	391	0.091	0.507	0.831	0.535	0.124	0.754	0.409	no	16
Est. glomerular filtration rate	Est. glomerular filtration rate	281	0.975	0.779	0.449	0.809	0.847	0.622	0.992	no	16
HDL Cholesterol	HDL Cholesterol	1238	0.693	0.046	0.183	0.991	0.058	0.117	0.155	no	16
Standing Height	Standing Height	4102	0.010	0.112	0.025	0.962	0.587	0.016	0.173	yes	16
Hip Circumference	Hip Circumference	810	0.835	0.196	0.517	0.062	0.331	0.481	0.681	no	16
Inflammatory Bowl Disease	Inflammatory Bowel Disease	310	0.001	0.641	0.778	0.004	0.037	0.454	0.238	yes	16
LDL Cholesterol	LDL Cholesterol	1493	0.815	0.133	0.158	0.875	0.712	0.276	0.811	no	16
Triglycerides	Triglycerides	1371	0.904	0.018	0.005	0.999	0.562	0.007	0.620	yes	16
Mean corpuscular hemoglobin	Mean corpuscular hemoglobin	478	0.395	0.221	0.000	0.003	0.052	1E-8	0.331	yes	16
Mean corpuscular volume	Mean corpuscular volume	1846	0.037	0.618	0.134	0.822	0.250	0.211	0.575	no	16
Age at Menopause	Age at Menopause	143	0.694	0.041	0.172	0.022	0.775	0.067	0.461	no	16
Platelet Counts	Platelet Counts	2160	0.687	0.209	0.017	0.753	0.281	0.022	0.680	no	16
Rheumatoid Arthritis	Rheumatoid Arthritis	621	0.404	1E-6	0.069	0.009	0.502	0.012	1.5E-5	yes	16
Red Blood Cell Count	Red Blood Cell Count	1451	0.600	0.024	0.345	0.212	0.871	0.207	0.263	no	16
Sitting Height	Sitting Height	2640	0.313	0.006	0.787	0.081	0.241	0.205	0.053	no	16
Skin Pigmentation	Skin Pigmentation	657	0.086	0.224	0.000	5.9E-5	0.694	1E-8	0.807	yes	16
Type II Diabetes	Type 2 Diabetes	423	0.518	0.996	0.997	0.020	0.674	0.995	1.000	yes	16
Tanning	Tanning	654	0.969	0.001	0.213	0.638	0.007	0.009	0.002	yes	16
Ulcerative Colitis	Ulcerative Colitis	202	0.002	0.527	0.016	0.038	0.647	0.013	0.384	yes	16
Waist Circumference	Waist Circumference	497	0.112	0.264	0.032	0.305	0.030	0.016	0.242	no	16
White Blood Cell Counts	White Blood Cell Counts	1372	0.006	0.067	0.646	0.668	0.007	0.231	0.010	yes	16
Waist-Hip Ratio	Waist-hip Ratio	1362	1.000	1.000	1.000	0.776	0.996	1.000	1.000	yes	16
Waist-Hip Ratio (Females)	Waist-hip Ratio (Female)	978	1.000	1.000	0.986	0.518	0.926	1.000	1.000	yes	16
Waist-Hip Ratio (Males)	Waist-hip Ratio (Male)	338	0.843	0.766	0.926	0.863	0.569	0.988	0.971	yes	16
