analysis	trait	n_variants	n_populations	observed_statistic	directional_p	lower_tail_p	alt_loglik	null_loglik	populations_json	source_frequency_json	observed_frequency_json	expected_frequency_json
afr	ea4	200	6	3.38353138	0.59189408	0.40811592	-69374.12238691	-69375.81415260	"[""CAfr"", ""Biaka_All"", ""Bantu"", ""EAfr"", ""LWK.SG"", ""YRI.SG""]"	[0.52997984, 0.50879915, 0.50016039]	[0.49598518, 0.52342995, 0.52042254, 0.51040681, 0.52379767, 0.53147076]	[0.5021507, 0.51724578, 0.52447419, 0.50892459, 0.52633033, 0.52981958]
afr	iq	304	6	15.09459600	0.033379666	0.96663033	-101928.33290463	-101935.88020263	"[""CAfr"", ""Biaka_All"", ""Bantu"", ""EAfr"", ""LWK.SG"", ""YRI.SG""]"	[0.51943133, 0.50724346, 0.48153419]	[0.47395172, 0.51088857, 0.5479723, 0.50589232, 0.51511813, 0.51843743]	[0.48469555, 0.50324793, 0.51383626, 0.50558633, 0.51637932, 0.51923422]
eas	ea4	200	8	24.50449842	0.033669663	0.96634034	-146902.01642546	-146914.26867467	"[""GROUP1"", ""CDX.SG"", ""CHB.SG"", ""GROUP2"", ""CHS.SG"", ""GROUP3"", ""JPT.SG"", ""KHV.SG""]"	[0.50164345, 0.53720886, 0.52572003]	[0.51757861, 0.52411815, 0.53088687, 0.5085665, 0.53231191, 0.50482094, 0.5343706, 0.53467277]	[0.53214755, 0.5265039, 0.53289924, 0.52374007, 0.53091037, 0.50164405, 0.53214052, 0.52745099]
eas	iq	304	8	14.01921273	0.15653843	0.84347157	-215752.43464948	-215759.44425585	"[""GROUP1"", ""CDX.SG"", ""CHB.SG"", ""GROUP2"", ""CHS.SG"", ""GROUP3"", ""JPT.SG"", ""KHV.SG""]"	[0.52298915, 0.51922825, 0.51884766]	[0.51427574, 0.51526401, 0.52142075, 0.53192044, 0.52060547, 0.5236403, 0.5182951, 0.5182095]	[0.51941177, 0.51888424, 0.5190862, 0.51919755, 0.51902032, 0.52298907, 0.51964564, 0.51892688]
sas	ea4	200	6	6.74345812	0.16272837	0.83728163	-139210.60896034	-139213.98068940	"[""BEB.SG"", ""GIH.SG"", ""AncSAS"", ""ITU.SG"", ""PJL.SG"", ""STU.SG""]"	[0.53098139, 0.51733338]	[0.52610628, 0.52976852, 0.51455505, 0.52932265, 0.53154298, 0.53100244]	[0.53052658, 0.52832953, 0.51872137, 0.53014424, 0.52721739, 0.53074243]
sas	iq	304	6	9.07224862	0.084819152	0.91519085	-204058.95395181	-204063.49007612	"[""BEB.SG"", ""GIH.SG"", ""AncSAS"", ""ITU.SG"", ""PJL.SG"", ""STU.SG""]"	[0.51726533, 0.53123581]	[0.51524505, 0.51879026, 0.53129025, 0.51596489, 0.52078522, 0.52273042]	[0.51773089, 0.51997985, 0.52981502, 0.51812227, 0.52111827, 0.51750994]
sam	ea4	200	5	47.41957845	0.0030099699	0.99700003	-69282.18109331	-69305.89088253	"[""AncSAm"", ""IBS.SG"", ""Mayan.DG"", ""PEL.SG"", ""BA-S""]"	[0.51925325, 0.52791204]	[0.505023, 0.53194775, 0.51899972, 0.53268531, 0.50829299]	[0.51926164, 0.52790793, 0.52006763, 0.52098259, 0.52791204]
sam	iq	304	5	25.05965247	0.040139599	0.9598704	-101332.05033047	-101344.58015670	"[""AncSAm"", ""IBS.SG"", ""Mayan.DG"", ""PEL.SG"", ""BA-S""]"	[0.51429406, 0.52305996]	[0.52328281, 0.52258076, 0.49558418, 0.51538299, 0.52636232]	[0.51430255, 0.5230558, 0.51511851, 0.51604479, 0.52305996]
joint_non_eur	ea4	200	25	82.05301579	0.010149899	0.9898601	-424768.92886601	-424809.95537391	"[""AFR__CAfr"", ""AFR__Biaka_All"", ""AFR__Bantu"", ""AFR__EAfr"", ""AFR__LWK.SG"", ""AFR__YRI.SG"", ""EAS__GROUP1"", ""EAS__CDX.SG"", ""EAS__CHB.SG"", ""EAS__GROUP2"", ""EAS__CHS.SG"", ""EAS__GROUP3"", ""EAS__JPT.SG"", ""EAS__KHV.SG"", ""SAS__BEB.SG"", ""SAS__GIH.SG"", ""SAS__AncSAS"", ""SAS__ITU.SG"", ""SAS__PJL.SG"", ""SAS__STU.SG"", ""SAM__AncSAm"", ""SAM__IBS.SG"", ""SAM__Mayan.DG"", ""SAM__PEL.SG"", ""SAM__BA-S""]"	[0.53000741, 0.50884416, 0.49998909, 0.50176383, 0.53717419, 0.52576658, 0.53097526, 0.51730085, 0.51930984, 0.52792539]	[0.49598518, 0.52342995, 0.52042254, 0.51040681, 0.52379767, 0.53147076, 0.51757861, 0.52411815, 0.53088687, 0.5085665, 0.53231191, 0.50482094, 0.5343706, 0.53467277, 0.52610628, 0.52976852, 0.51455505, 0.52932265, 0.53154298, 0.53100244, 0.505023, 0.53194775, 0.51899972, 0.53268531, 0.50829299]	[0.50199948, 0.51718842, 0.52448014, 0.50895087, 0.52635065, 0.52984616, 0.53214181, 0.52654471, 0.53289502, 0.52379251, 0.53092022, 0.50176442, 0.53213026, 0.52748488, 0.53051957, 0.52831827, 0.51869153, 0.53013648, 0.52720397, 0.53073583, 0.51931818, 0.5279213, 0.52012015, 0.52103054, 0.52792539]
joint_non_eur	iq	304	25	63.25454097	0.032399676	0.96761032	-623071.77183639	-623103.39910687	"[""AFR__CAfr"", ""AFR__Biaka_All"", ""AFR__Bantu"", ""AFR__EAfr"", ""AFR__LWK.SG"", ""AFR__YRI.SG"", ""EAS__GROUP1"", ""EAS__CDX.SG"", ""EAS__CHB.SG"", ""EAS__GROUP2"", ""EAS__CHS.SG"", ""EAS__GROUP3"", ""EAS__JPT.SG"", ""EAS__KHV.SG"", ""SAS__BEB.SG"", ""SAS__GIH.SG"", ""SAS__AncSAS"", ""SAS__ITU.SG"", ""SAS__PJL.SG"", ""SAS__STU.SG"", ""SAM__AncSAm"", ""SAM__IBS.SG"", ""SAM__Mayan.DG"", ""SAM__PEL.SG"", ""SAM__BA-S""]"	[0.519437, 0.507293, 0.48157623, 0.5237014, 0.51914774, 0.51883799, 0.51724619, 0.53123625, 0.51426118, 0.52304761]	[0.47395172, 0.51088857, 0.5479723, 0.50589232, 0.51511813, 0.51843743, 0.51427574, 0.51526401, 0.52142075, 0.53192044, 0.52060547, 0.5236403, 0.5182951, 0.5182095, 0.51524505, 0.51879026, 0.53129025, 0.51596489, 0.52078522, 0.52273042, 0.52328281, 0.52258076, 0.49558418, 0.51538299, 0.52636232]	[0.48473593, 0.50326912, 0.51385036, 0.5056335, 0.51639138, 0.51924009, 0.51940324, 0.51887097, 0.51903235, 0.51924833, 0.51897873, 0.5237013, 0.51966435, 0.51890908, 0.5177124, 0.51996451, 0.52981347, 0.51810433, 0.52110453, 0.51749115, 0.51426968, 0.52304344, 0.51508756, 0.51601601, 0.52304761]
