analysis	trait	n_variants	n_populations	observed_statistic	directional_p	lower_tail_p	weight_sum	weight_l2_norm	populations_json	population_z_json	weighted_observed_frequency_json	weighted_expected_frequency_json
afr	ea4	200	6	3.67077232	0.59672403	0.40328597	2.254	0.16516059	"[""CAfr"", ""Biaka_All"", ""Bantu"", ""EAfr"", ""LWK.SG"", ""YRI.SG""]"	[-0.98318867, 0.89488329, 0.59336172, 0.32310076, -1.01443914, 0.64632596]	[0.48902761, 0.51887765, 0.52190103, 0.51193011, 0.51815049, 0.52533646]	[0.5022391, 0.51448786, 0.51856411, 0.50994709, 0.519609, 0.52339936]
afr	iq	304	6	18.82897641	0.024769752	0.97524025	6.4694588	0.38407263	"[""CAfr"", ""Biaka_All"", ""Bantu"", ""EAfr"", ""LWK.SG"", ""YRI.SG""]"	[-1.16430404, 0.45703495, 4.10884873, -0.08490125, -0.6075436, -0.07440577]	[0.46538457, 0.50277456, 0.53978125, 0.49735378, 0.50583714, 0.51772944]	[0.48101192, 0.49840923, 0.50590277, 0.49752234, 0.50853854, 0.51445074]
eas	ea4	200	8	21.37578620	0.033479665	0.96653033	2.254	0.16516059	"[""GROUP1"", ""CDX.SG"", ""CHB.SG"", ""GROUP2"", ""CHS.SG"", ""GROUP3"", ""JPT.SG"", ""KHV.SG""]"	[-2.16188142, -1.16361872, -0.61214162, -2.5055382, 0.44140733, 0.41789223, 0.68489881, 2.80304239]	[0.52120153, 0.51859517, 0.52612955, 0.5111809, 0.52620642, 0.50561634, 0.52873233, 0.52906966]	[0.52741128, 0.52172861, 0.52786925, 0.51937734, 0.52595727, 0.50155132, 0.5275813, 0.5226476]
eas	iq	304	8	11.51569682	0.19067809	0.80933191	6.4694588	0.38407263	"[""GROUP1"", ""CDX.SG"", ""CHB.SG"", ""GROUP2"", ""CHS.SG"", ""GROUP3"", ""JPT.SG"", ""KHV.SG""]"	[-2.03906026, -1.39620791, 0.52388041, 1.76244129, 1.34712319, 0.37905321, -0.26246325, -0.02396594]	[0.50790912, 0.5099286, 0.51544692, 0.52452501, 0.5182199, 0.51437407, 0.51519531, 0.51337218]	[0.51498089, 0.51323587, 0.51486788, 0.51288015, 0.51435766, 0.51115916, 0.51518338, 0.51348866]
sas	ea4	200	6	5.57142432	0.28761712	0.71239288	2.254	0.16516059	"[""BEB.SG"", ""GIH.SG"", ""AncSAS"", ""ITU.SG"", ""PJL.SG"", ""STU.SG""]"	[-1.60186352, 0.01563255, -0.80303506, -0.24070661, 1.30294398, 0.77765365]	[0.52161999, 0.52406353, 0.51298677, 0.52552794, 0.52755064, 0.52577927]	[0.52548597, 0.52410337, 0.51865327, 0.52524535, 0.5234035, 0.5256218]
sas	iq	304	6	7.76005163	0.15780842	0.84220158	6.4694588	0.38407263	"[""BEB.SG"", ""GIH.SG"", ""AncSAS"", ""ITU.SG"", ""PJL.SG"", ""STU.SG""]"	[-1.26296099, -0.41281741, 0.475716, -1.06827671, 0.36405122, 2.12002567]	[0.51165436, 0.51469282, 0.52114631, 0.510658, 0.51940441, 0.51656161]	[0.51391686, 0.51527957, 0.52124474, 0.51415401, 0.51611085, 0.51378298]
sam	ea4	200	5	32.06376330	0.0059799402	0.99403006	2.254	0.16516059	"[""AncSAm"", ""IBS.SG"", ""Mayan.DG"", ""PEL.SG"", ""BA-S""]"	[-3.09585443, 1.33293335, 0.26056291, 2.93818663, -3.46437636]	[0.50563509, 0.52522259, 0.51597661, 0.52769472, 0.50562277]	[0.51638491, 0.52242637, 0.51694809, 0.5175874, 0.52242924]
sam	iq	304	5	19.84850656	0.031559684	0.96845032	6.4694588	0.38407263	"[""AncSAm"", ""IBS.SG"", ""Mayan.DG"", ""PEL.SG"", ""BA-S""]"	[1.64692679, 0.34444946, -4.09249261, 0.50575302, -0.11494094]	[0.51474191, 0.51862917, 0.49347762, 0.50893396, 0.52106683]	[0.50956044, 0.51869556, 0.51041275, 0.51138028, 0.51870789]
joint_non_eur	ea4	200	25	62.68083346	0.012089879	0.98792012	2.254	0.16516059	"[""AFR__CAfr"", ""AFR__Biaka_All"", ""AFR__Bantu"", ""AFR__EAfr"", ""AFR__LWK.SG"", ""AFR__YRI.SG"", ""EAS__GROUP1"", ""EAS__CDX.SG"", ""EAS__CHB.SG"", ""EAS__GROUP2"", ""EAS__CHS.SG"", ""EAS__GROUP3"", ""EAS__JPT.SG"", ""EAS__KHV.SG"", ""SAS__BEB.SG"", ""SAS__GIH.SG"", ""SAS__AncSAS"", ""SAS__ITU.SG"", ""SAS__PJL.SG"", ""SAS__STU.SG"", ""SAM__AncSAm"", ""SAM__IBS.SG"", ""SAM__Mayan.DG"", ""SAM__PEL.SG"", ""SAM__BA-S""]"	[-0.9839873, 0.89441527, 0.59319932, 0.32173492, -1.01519522, 0.6459746, -2.16196298, -1.16357827, -0.61264155, -2.50545627, 0.44108207, 0.41866084, 0.6848594, 2.80302926, -1.60143587, 0.01572011, -0.80313761, -0.2402761, 1.30278973, 0.77819353, -3.09576739, 1.33267816, 0.26049942, 2.93805868, -3.46446782]	[0.48902761, 0.51887765, 0.52190103, 0.51193011, 0.51815049, 0.52533646, 0.52120153, 0.51859517, 0.52612955, 0.5111809, 0.52620642, 0.50561634, 0.52873233, 0.52906966, 0.52161999, 0.52406353, 0.51298677, 0.52552794, 0.52755064, 0.52577927, 0.50563509, 0.52522259, 0.51597661, 0.52769472, 0.50562277]	[0.50224514, 0.51449061, 0.5185661, 0.50995393, 0.51961075, 0.52340026, 0.52741165, 0.52172851, 0.52787037, 0.51937603, 0.52595802, 0.50153806, 0.52758127, 0.52264766, 0.52548497, 0.52410309, 0.51865706, 0.52524448, 0.52340358, 0.52562073, 0.51638507, 0.52242697, 0.51694829, 0.51758765, 0.52242984]
joint_non_eur	iq	304	25	57.95422363	0.017859821	0.98215018	6.4694588	0.38407263	"[""AFR__CAfr"", ""AFR__Biaka_All"", ""AFR__Bantu"", ""AFR__EAfr"", ""AFR__LWK.SG"", ""AFR__YRI.SG"", ""EAS__GROUP1"", ""EAS__CDX.SG"", ""EAS__CHB.SG"", ""EAS__GROUP2"", ""EAS__CHS.SG"", ""EAS__GROUP3"", ""EAS__JPT.SG"", ""EAS__KHV.SG"", ""SAS__BEB.SG"", ""SAS__GIH.SG"", ""SAS__AncSAS"", ""SAS__ITU.SG"", ""SAS__PJL.SG"", ""SAS__STU.SG"", ""SAM__AncSAm"", ""SAM__IBS.SG"", ""SAM__Mayan.DG"", ""SAM__PEL.SG"", ""SAM__BA-S""]"	[-1.16433834, 0.45707412, 4.10891115, -0.0844863, -0.60717176, -0.07407631, -2.0390388, -1.39618087, 0.52377221, 1.76254598, 1.34707521, 0.37969822, -0.26234161, -0.02395156, -1.26299739, -0.41277543, 0.47602086, -1.06828812, 0.36412313, 2.12002504, 1.64653177, 0.34426956, -4.09273414, 0.50532114, -0.11498121]	[0.46538457, 0.50277456, 0.53978125, 0.49735378, 0.50583714, 0.51772944, 0.50790912, 0.5099286, 0.51544692, 0.52452501, 0.5182199, 0.51437407, 0.51519531, 0.51337218, 0.51165436, 0.51469282, 0.52114631, 0.510658, 0.51940441, 0.51656161, 0.51474191, 0.51862917, 0.49347762, 0.50893396, 0.52106683]	[0.48101242, 0.49840993, 0.50590227, 0.49752125, 0.5085378, 0.51444989, 0.51498081, 0.5132358, 0.51486822, 0.51287949, 0.51435788, 0.51115245, 0.51518307, 0.51348864, 0.5139169, 0.51527948, 0.52124396, 0.51415403, 0.51611066, 0.51378303, 0.50956157, 0.51869588, 0.5104138, 0.51138124, 0.51870818]
