analysis	trait	n_variants	n_populations	observed_statistic	directional_p	lower_tail_p	alt_loglik	null_loglik	populations_json	source_frequency_json	observed_frequency_json	expected_frequency_json
afr	gfp	41	6	14.97885826	0.022359776	0.97765022	-13920.87830157	-13928.36773070	"[""CAfr"", ""Biaka_All"", ""Bantu"", ""EAfr"", ""LWK.SG"", ""YRI.SG""]"	[0.4367895, 0.42749793, 0.38140455]	[0.35263158, 0.43537015, 0.51459854, 0.42548476, 0.43088449, 0.43359979]	[0.38804459, 0.41313827, 0.42942351, 0.42481935, 0.43324656, 0.43650522]
afr	schizophrenia	523	6	20.56777494	0.0063299367	0.99368006	-169548.94673346	-169559.23062093	"[""CAfr"", ""Biaka_All"", ""Bantu"", ""EAfr"", ""LWK.SG"", ""YRI.SG""]"	[0.392005, 0.37274852, 0.37354194]	[0.36437466, 0.3902792, 0.38380184, 0.37186142, 0.39293339, 0.38780136]	[0.37483226, 0.38412049, 0.38801151, 0.37354213, 0.389084, 0.39190304]
eas	gfp	41	8	24.99096789	0.019849802	0.9801602	-29901.07568690	-29913.57117084	"[""GROUP1"", ""CDX.SG"", ""CHB.SG"", ""GROUP2"", ""CHS.SG"", ""GROUP3"", ""JPT.SG"", ""KHV.SG""]"	[0.39472337, 0.45428206, 0.43317305]	[0.41826309, 0.43532595, 0.43359375, 0.39514624, 0.45330269, 0.3959276, 0.45256591, 0.44337548]	[0.44537344, 0.43462573, 0.44636461, 0.430022, 0.44271037, 0.39472435, 0.44565558, 0.43637907]
eas	schizophrenia	523	8	236.67296077	9.9999e-06	1	-362278.85935991	-362397.19584029	"[""GROUP1"", ""CDX.SG"", ""CHB.SG"", ""GROUP2"", ""CHS.SG"", ""GROUP3"", ""JPT.SG"", ""KHV.SG""]"	[0.3669596, 0.39578952, 0.38475526]	[0.3516599, 0.38562897, 0.39056637, 0.35904635, 0.39039848, 0.37128367, 0.39755632, 0.39460017]	[0.39129515, 0.38551957, 0.39165119, 0.38330186, 0.38974102, 0.36696007, 0.39155314, 0.38644134]
sas	gfp	41	6	8.03343390	0.088739113	0.91127089	-28330.51895364	-28334.53567059	"[""BEB.SG"", ""GIH.SG"", ""AncSAS"", ""ITU.SG"", ""PJL.SG"", ""STU.SG""]"	[0.4493187, 0.38153025]	[0.43993409, 0.43834439, 0.37863706, 0.45026113, 0.44010283, 0.4408284]	[0.44705971, 0.43614716, 0.38842429, 0.44516062, 0.43062321, 0.44813178]
sas	schizophrenia	523	6	5.70571278	0.22243778	0.77757222	-343207.20418813	-343210.05704451	"[""BEB.SG"", ""GIH.SG"", ""AncSAS"", ""ITU.SG"", ""PJL.SG"", ""STU.SG""]"	[0.39615055, 0.35759123]	[0.39507982, 0.38753923, 0.35968855, 0.39327078, 0.38871545, 0.39450128]	[0.39486559, 0.38865833, 0.36151269, 0.39378535, 0.38551621, 0.39547541]
sam	gfp	41	5	34.18033388	0.0096799032	0.9903301	-13948.90884194	-13965.99900888	"[""AncSAm"", ""IBS.SG"", ""Mayan.DG"", ""PEL.SG"", ""BA-S""]"	[0.42930812, 0.43172372]	[0.40799512, 0.44255843, 0.45667125, 0.43775778, 0.38695264]	[0.42931048, 0.43172257, 0.42953531, 0.42979056, 0.43172372]
sam	schizophrenia	523	5	174.31949116	9.9999e-06	1	-171395.80964697	-171482.96939255	"[""AncSAm"", ""IBS.SG"", ""Mayan.DG"", ""PEL.SG"", ""BA-S""]"	[0.38452053, 0.38535143]	[0.36699337, 0.39011284, 0.3903031, 0.39726194, 0.36305091]	[0.38452135, 0.38535104, 0.38459868, 0.38468648, 0.38535143]
joint_non_eur	gfp	41	25	141.90126587	0.0029499705	0.99706003	-86101.38178405	-86172.33241698	"[""AFR__CAfr"", ""AFR__Biaka_All"", ""AFR__Bantu"", ""AFR__EAfr"", ""AFR__LWK.SG"", ""AFR__YRI.SG"", ""EAS__GROUP1"", ""EAS__CDX.SG"", ""EAS__CHB.SG"", ""EAS__GROUP2"", ""EAS__CHS.SG"", ""EAS__GROUP3"", ""EAS__JPT.SG"", ""EAS__KHV.SG"", ""SAS__BEB.SG"", ""SAS__GIH.SG"", ""SAS__AncSAS"", ""SAS__ITU.SG"", ""SAS__PJL.SG"", ""SAS__STU.SG"", ""SAM__AncSAm"", ""SAM__IBS.SG"", ""SAM__Mayan.DG"", ""SAM__PEL.SG"", ""SAM__BA-S""]"	[0.43786431, 0.43395496, 0.43735696]	[0.35263158, 0.43537015, 0.51459854, 0.42548476, 0.43088449, 0.43359979, 0.41826309, 0.43532595, 0.43359375, 0.39514624, 0.45330269, 0.3959276, 0.45256591, 0.44337548, 0.43993409, 0.43834439, 0.37863706, 0.45026113, 0.44010283, 0.4408284, 0.40799512, 0.44255843, 0.45667125, 0.43775778, 0.38695264]	[0.4371993, 0.43764762, 0.43743285, 0.43432957, 0.43742008, 0.43786, 0.43498951, 0.43711062, 0.43523015, 0.43738621, 0.43581907, 0.43786426, 0.43467103, 0.43681507, 0.43773403, 0.43710471, 0.43435254, 0.43762451, 0.43678614, 0.43779586, 0.43786048, 0.43395682, 0.43749662, 0.43708353, 0.43395496]
joint_non_eur	schizophrenia	523	25	641.28489240	9.9999e-06	1	-1046430.81992846	-1046751.46237466	"[""AFR__CAfr"", ""AFR__Biaka_All"", ""AFR__Bantu"", ""AFR__EAfr"", ""AFR__LWK.SG"", ""AFR__YRI.SG"", ""EAS__GROUP1"", ""EAS__CDX.SG"", ""EAS__CHB.SG"", ""EAS__GROUP2"", ""EAS__CHS.SG"", ""EAS__GROUP3"", ""EAS__JPT.SG"", ""EAS__KHV.SG"", ""SAS__BEB.SG"", ""SAS__GIH.SG"", ""SAS__AncSAS"", ""SAS__ITU.SG"", ""SAS__PJL.SG"", ""SAS__STU.SG"", ""SAM__AncSAm"", ""SAM__IBS.SG"", ""SAM__Mayan.DG"", ""SAM__PEL.SG"", ""SAM__BA-S""]"	[0.39073559, 0.38473774, 0.38770843]	[0.36437466, 0.3902792, 0.38380184, 0.37186142, 0.39293339, 0.38780136, 0.3516599, 0.38562897, 0.39056637, 0.35904635, 0.39039848, 0.37128367, 0.39755632, 0.39460017, 0.39507982, 0.38753923, 0.35968855, 0.39327078, 0.38871545, 0.39450128, 0.36699337, 0.39011284, 0.3903031, 0.39726194, 0.36305091]	[0.3877577, 0.38944284, 0.38981047, 0.38516434, 0.38995081, 0.39071761, 0.38582335, 0.38749887, 0.38585163, 0.38795135, 0.38636589, 0.3907355, 0.38566926, 0.38724669, 0.39053572, 0.38957019, 0.38534772, 0.39036769, 0.38908143, 0.39063057, 0.39072972, 0.38474059, 0.39017148, 0.3895377, 0.38473774]
