label	source	p_value	figure6_x	p_value_source	n_permutations
Type 2 Diabetes	Colbran	1	-7.69897000	Colbran Table 3 transcription	NA
Waist-hip Ratio	Colbran	1	-7.69897000	Colbran Table 3 transcription	NA
Waist-hip Ratio (Female)	Colbran	1	-7.69897000	Colbran Table 3 transcription	NA
Waist-hip Ratio (Male)	Colbran	0.971	-1.23657201	Colbran Table 3 transcription	NA
Birthweight	Colbran	0.918	-0.78515615	Colbran Table 3 transcription	NA
Skin Pigmentation	Colbran	0.807	-0.41341270	Colbran Table 3 transcription	NA
Body Mass Index	Colbran	0.704	-0.22767829	Colbran Table 3 transcription	NA
Triglycerides	Colbran	0.62	-0.11918641	Colbran Table 3 transcription	NA
Ulcerative Colitis	Colbran	0.384	0.11463878	Colbran Table 3 transcription	NA
Mean corpuscular hemoglobin	Colbran	0.331	0.17914201	Colbran Table 3 transcription	NA
Inflammatory Bowel Disease	Colbran	0.238	0.32239305	Colbran Table 3 transcription	NA
Alzheimer's Disease	Colbran	0.192	0.41566878	Colbran Table 3 transcription	NA
Standing Height	Colbran	0.173	0.46092390	Colbran Table 3 transcription	NA
Bone Mineral Density	Colbran	0.112	0.64975198	Colbran Table 3 transcription	NA
SARS-CoV-2 (Hospitalized)	Colbran	0.027	1.26760624	Colbran Table 3 transcription	NA
IQ	Extension	0.025579744	1.29107381	results/cognitive_comparison_100k/polygenic_summary.tsv	100000
Asthma	Colbran	0.014	1.55284197	Colbran Table 3 transcription	NA
White Blood Cell Counts	Colbran	0.01	1.69897000	Colbran Table 3 transcription	NA
Educational attainment	Extension	0.0058699413	1.93033625	results/cognitive_comparison_100k/polygenic_summary.tsv	100000
GFP	Extension	0.0029499705	2.22915233	results/extension_100k/polygenic_summary.tsv	100000
Tanning	Colbran	0.002	2.39794001	Colbran Table 3 transcription	NA
Rheumatoid Arthritis	Colbran	1.5e-05	4.52287875	Colbran Table 3 transcription	NA
Schizophrenia	Extension	5.9999994e-07	5.92081880	results/deep_schizophrenia_10m/deep_schizophrenia_p_value.tsv	10000000
